Date,Price,Open,High,Low,Vol.,Change %
6/13/25,38.155,37.595,38.46,37.105,4.25K,5.47%
6/12/25,36.177,36.177,36.5,35.765,8.20K,0.74%
6/11/25,35.913,35.165,35.9,35.06,4.91K,3.68%
6/10/25,34.638,35.555,35.555,34.55,4.63K,-2.72%
6/9/25,35.605,36.145,36.245,35.45,4.95K,-1.78%
6/6/25,36.251,36.55,36.72,35.955,4.61K,-0.39%
6/5/25,36.393,35.705,36.59,35.705,3.86K,2.08%
6/4/25,35.65,36.005,36.365,35.415,6.57K,-0.55%
6/3/25,35.848,35.265,36,34.97,3.62K,2.38%
6/2/25,35.015,34.1,35.485,34.1,4.19K,2.30%
5/30/25,34.228,34.955,35.355,33.855,0.78K,-2.65%
5/29/25,35.158,35.158,35.158,35.158,,-4.17%
5/28/25,36.687,36.8,36.99,36.8,0.08K,-0.86%
5/27/25,37.006,36.975,36.975,36.685,0.38K,1.53%
5/23/25,36.45,36.4,36.77,35.88,0.47K,0.26%
5/22/25,36.356,36.54,37.04,36.11,6.32K,-0.72%
5/21/25,36.621,37.25,37.775,36.43,6.86K,-0.97%
5/20/25,36.979,35.26,37.14,35.235,5.47K,4.98%
5/19/25,35.225,35,35.46,34.9,3.82K,0.20%
5/16/25,35.156,35.35,35.935,34.785,3.81K,-0.39%
5/15/25,35.294,35.345,35.495,34.45,8.95K,0.70%
5/14/25,35.048,35.65,35.68,34.425,5.20K,-1.95%
5/13/25,35.744,35.015,36.15,35.01,7.76K,1.00%
5/12/25,35.39,34.555,36.305,34.545,13.45K,2.23%
5/9/25,34.618,35.7,35.99,34.32,7.11K,-2.05%
5/8/25,35.341,34.22,35.745,34.22,8.95K,2.35%
5/7/25,34.531,34.615,35.515,34.115,16.62K,-0.61%
5/6/25,34.743,33.34,35.085,33.235,26.23K,5.51%
5/5/25,32.93,32.79,33.065,32.6,3.08K,-0.45%
5/2/25,33.078,32.095,33.63,32.085,4.78K,2.89%
5/1/25,32.149,32.03,32.28,31.65,3.62K,-0.52%
4/30/25,32.317,31.875,32.755,31.655,0.23K,1.45%
4/29/25,31.856,30.9,31.5,30.9,0.00K,-1.67%
4/28/25,32.398,32.7,32.7,32.275,0.07K,-0.10%
4/25/25,32.432,33.445,33.445,31.95,7.19K,-3.40%
4/24/25,33.574,34.05,34.14,33.08,12.55K,-1.72%
4/23/25,34.16,34.675,34.975,33.925,11.56K,-0.25%
4/22/25,34.244,35.85,35.85,34.025,6.15K,-3.96%
4/21/25,35.657,35.657,35.657,35.657,,0.00%
4/17/25,35.657,35.6,35.835,35.305,0.28K,0.98%
4/16/25,35.312,33.905,35.63,33.905,2.86K,2.63%
4/15/25,34.407,34.5,35.525,34.17,2.06K,-0.27%
